5104,Layton,,,40,yes,21805,NULL
5105,Layton,,,40,no,40715,NULL
5106,Layton,,,45,no,21805,NULL
5107,Layton,,,55,no,,NULL
5108,Layton,,,45,,23260,NULL
5109,Layton,,,45,no,22235,NULL
5110,Layton/Hill AFB,,,50,no,34470,NULL
5111,Clearfield,,,45,yes,31325,NULL
5112,Clearfield,,,45,no,31860,NULL
5113,Clearfield,,,45,no,31860,NULL
5114,Layton,,,45,no,40715,NULL
5115,Layton,,,45,yes,40715,NULL
5116,Layton,,,45,no,40715,NULL
5117,Clearfield,,,40,no,20700,NULL
5118,Clearfield,,,35,no,20700,NULL
5119,Clearfield,,,45,yes,15525,NULL
5120,Clearfield/Sunset,,,45,no,26380,NULL
5121,Clearfield,,,40,no,15630,NULL
5122,Clearfield,,,40,no,15630,NULL
5123,Clearfield,,,45,no,26380,NULL
5124,Layton,,,45,no,23475,NULL
5125,Clearfield,,,40,no,20700,NULL
5127,Syracuse/Clearfield,,,45,no,31860,NULL
5128,Marriott-Slaterville,,,55,no,15820,NULL
5129,Clearfield,,,40,no,20700,NULL
5130,West Haven,,x,55,no,22015,NULL
5131,Ogden,,,40,no,31835,NULL
5132,Clearfield,,,35,no,17970,NULL
5133,Ogden,,,40,no,31835,NULL
5134,Clearfield,,,50,no,25885,NULL
5135,Clearfield,,,35,no,17970,NULL
5137,Ogden,,,45,no,22455,NULL
5138,Roy,,,35,no,22795,NULL
5139,Harrisville,,,45,no,17945,NULL
5140,Layton,,,45,no,21805,NULL
5141,Ogden,,,40,no,15900,NULL
5142,Ogden/Harrisville,,,50,no,28055,NULL
5143,West Haven,,,50,no,18660,NULL
5144,Roy,,,50,no,13050,NULL
5145,West Haven,,,50,no,12330,NULL
5146,Roy,,,45,no,17965,NULL
5147,Roy,,,45,no,18005,NULL
5148,Roy,,,35,no,16715,NULL
5149,Ogden/Marriott-Slaterville,,,50,no,30885,NULL
5150,Layton,,,40,no,12710,NULL
5151,Layton,,,55,no,28715,NULL
5152,Ogden,,,40,no,31835,NULL
5153,Layton,,,35,no,13135,NULL
5154,West Haven,,,50,no,13050,NULL
5155,Layton,,,55,no,24660,NULL
5156,Layton,,,55,no,24660,NULL
5157,Ogden,,,45,no,19875,NULL
5158,Layton,,,35,no,24660,NULL
5159,Marriott-Slaterville,,,50,no,26915,NULL
5160,Clearfield,,,50,no,25885,NULL
5161,Clearfield,,,50,no,34470,NULL
5164,Layton,,,35,no,13135,NULL
5165,West Point,,,45,no,10860,NULL
5166,Roy,,,45,no,17965,NULL
5167,Kaysville,,,40,no,,NULL
5168,Ogden,,,45,no,18015,NULL
5169,South Ogden,,,50,no,31835,NULL
5170,Kaysville,,,35,yes,21820,NULL
5171,Kaysville,,,40,,21820,NULL
5172,Kaysville,,,40,no,21820,NULL
5173,Kaysville,,,40,no,14625,NULL
5174,Kaysville/Fruit Heights,,,45,no,14010,NULL
5176,Marriott-Slaterville,,,50,no,15720,NULL
5177,Kaysville,,,40,no,14010,NULL
5178,South Ogden/Washington Terrace,,,50,no,24105,NULL
5179,South Ogden,,,55,no,36435,NULL
5180,Ogden,,,45,no,22455,NULL
5181,Ogden,,,45,no,22455,NULL
5182,Marriott-Slaterville,,,50,no,30885,NULL
5183,Ogden,,,55,yes,18015,NULL
5184,Ogden,,,40,no,15900,NULL
5185,Layton,,,40,no,23475,NULL
5186,Clinton/West Point,,,45,no,15455,NULL
5187,Clinton,,,45,no,15455,NULL
5188,Clinton,,,40,no,13810,NULL
5189,Clinton,,,45,no,18005,NULL
5190,Clinton,,,45,no,18005,NULL
5191,Syracuse,,,45,no,14325,NULL
5192,West Point,,,40,no,1865,NULL
5193,Layton,,,40,no,20190,NULL
5194,Layton,,,40,no,20190,NULL
5195,Ogden/Harrisville,,,50,no,19445,NULL
5196,Ogden,,,50,no,30885,NULL
5197,Sunset,,,30,no,13810,NULL
5198,Clinton,,,40,no,12925,NULL
5200,Farmington,,,45,no,5960,NULL
5201,Farmington,,,45,no,5960,NULL
5202,Farmington,,,45,no,5960,NULL
5203,Farmington,,,45,no,5535,NULL
5204,Farmington,,,35,no,9405,NULL
5205,Farmington,,,35,no,9405,NULL
5206,Farmington/Fruit Heights,,,45,no,11705,NULL
5207,Farmington,,,45,no,11705,NULL
5209,Farmington,,,40,no,9405,NULL
5210,Farmington,,,35,no,11405,NULL
5211,Farmington,,,40,no,8010,NULL
5212,Farmington,,,45,no,5535,NULL
5213,Farmington,,,40,no,11405,NULL
5214,Kaysville,,,40,no,21820,NULL
5215,Kaysville,,,40,no,14625,NULL
5216,Kaysville/Fruit Heights,,,45,no,,NULL
5217,Farmington,,,45,no,,NULL
5218,West Haven,,,50,no,8855,NULL
5219,West Haven,,,50,no,8855,NULL
5220,Syracuse,,,50,no,,NULL
5221,Syracuse,,,50,no,10345,NULL
5222,Clearfield/Syracuse,,,50,,3500,NULL
5223,Clearfield,,,50,,8765,NULL
5224,Clearfield,,,40,no,8765,NULL
5225,Syracuse,,,45,no,,NULL
5226,Roy/Hooper,,,40,,,NULL
5227,Marriott-Slaterville,,,35,no,,NULL
5228,Syracuse,,,50,no,,NULL
5229,Clearfield,,,50,no,,NULL
5230,Clinton,,,45,no,,NULL
5231,Bountiful,,,35,,19840,NULL
5232,Layton,,,40,,23000,NULL
